step,metric_value,label,metric_name
20,21028.345900000048,low molecular,Molecular Weight
21,20752.169100000046,low molecular,Molecular Weight
22,20620.92990000004,low molecular,Molecular Weight
23,20575.71250000004,low molecular,Molecular Weight
24,20482.387600000035,low molecular,Molecular Weight
25,20416.261700000035,low molecular,Molecular Weight
26,20448.189500000033,low molecular,Molecular Weight
27,20241.75160000003,low molecular,Molecular Weight
28,20340.728900000027,low molecular,Molecular Weight
29,20375.83580000003,low molecular,Molecular Weight
30,20364.78480000003,low molecular,Molecular Weight
31,20332.921400000032,low molecular,Molecular Weight
32,20337.919600000037,low molecular,Molecular Weight
33,20229.623200000027,low molecular,Molecular Weight
34,20355.796200000033,low molecular,Molecular Weight
35,20412.976500000033,low molecular,Molecular Weight
36,20422.046100000032,low molecular,Molecular Weight
37,20521.28640000003,low molecular,Molecular Weight
38,20552.297100000033,low molecular,Molecular Weight
39,20630.496600000035,low molecular,Molecular Weight
40,20628.52370000003,low molecular,Molecular Weight
41,20563.44530000003,low molecular,Molecular Weight
42,20590.43090000003,low molecular,Molecular Weight
43,20558.566100000033,low molecular,Molecular Weight
44,20503.57200000003,low molecular,Molecular Weight
45,20517.797000000035,low molecular,Molecular Weight
46,20575.876200000035,low molecular,Molecular Weight
47,20545.741100000036,low molecular,Molecular Weight
48,20427.61010000003,low molecular,Molecular Weight
49,20511.79420000003,low molecular,Molecular Weight
50,20491.572900000036,low molecular,Molecular Weight
51,20546.76050000004,low molecular,Molecular Weight
52,20482.630500000036,low molecular,Molecular Weight
53,20470.533700000033,low molecular,Molecular Weight
54,20557.743300000035,low molecular,Molecular Weight
55,20499.664100000035,low molecular,Molecular Weight
56,20479.609900000036,low molecular,Molecular Weight
57,20533.91880000004,low molecular,Molecular Weight
58,20536.000800000045,low molecular,Molecular Weight
59,20531.75400000004,low molecular,Molecular Weight
60,20551.874500000045,low molecular,Molecular Weight
61,20608.007400000046,low molecular,Molecular Weight
62,20708.29850000005,low molecular,Molecular Weight
63,20738.241900000052,low molecular,Molecular Weight
64,20724.131100000053,low molecular,Molecular Weight
65,20654.96000000005,low molecular,Molecular Weight
66,20638.92240000005,low molecular,Molecular Weight
67,20510.879300000055,low molecular,Molecular Weight
68,20408.873500000056,low molecular,Molecular Weight
69,20501.08130000006,low molecular,Molecular Weight
70,20468.99830000006,low molecular,Molecular Weight
71,20442.984100000063,low molecular,Molecular Weight
72,20372.90430000006,low molecular,Molecular Weight
73,20266.736000000063,low molecular,Molecular Weight
74,20315.895800000064,low molecular,Molecular Weight
75,20404.970600000066,low molecular,Molecular Weight
76,20437.141500000067,low molecular,Molecular Weight
77,20435.125500000067,low molecular,Molecular Weight
78,20362.84600000006,low molecular,Molecular Weight
79,20404.882700000064,low molecular,Molecular Weight
80,20466.952100000068,low molecular,Molecular Weight
81,20476.087800000063,low molecular,Molecular Weight
82,20515.11880000006,low molecular,Molecular Weight
83,20515.11880000006,low molecular,Molecular Weight
84,20534.95490000006,low molecular,Molecular Weight
85,20500.93530000006,low molecular,Molecular Weight
86,20390.62950000006,low molecular,Molecular Weight
87,20454.86860000006,low molecular,Molecular Weight
88,20370.775300000056,low molecular,Molecular Weight
89,20347.831400000054,low molecular,Molecular Weight
90,20279.75420000005,low molecular,Molecular Weight
91,20125.61100000005,low molecular,Molecular Weight
92,20149.634200000055,low molecular,Molecular Weight
93,20170.784000000054,low molecular,Molecular Weight
94,20121.58440000005,low molecular,Molecular Weight
95,20024.490800000047,low molecular,Molecular Weight
96,20088.577800000046,low molecular,Molecular Weight
97,20070.41210000005,low molecular,Molecular Weight
98,20102.561200000047,low molecular,Molecular Weight
99,20196.765000000047,low molecular,Molecular Weight
100,20354.934900000047,low molecular,Molecular Weight
0,-0.6725000000000003,high gravy,GRAVY Score
1,-0.4049999999999998,high gravy,GRAVY Score
2,-0.20800000000000005,high gravy,GRAVY Score
3,0.113,high gravy,GRAVY Score
4,0.23549999999999982,high gravy,GRAVY Score
5,0.12250000000000004,high gravy,GRAVY Score
6,0.10050000000000006,high gravy,GRAVY Score
7,0.17085427135678402,high gravy,GRAVY Score
8,0.13165829145728652,high gravy,GRAVY Score
9,0.01758793969849244,high gravy,GRAVY Score
10,0.12171717171717192,high gravy,GRAVY Score
11,0.10757575757575774,high gravy,GRAVY Score
12,0.16868686868686888,high gravy,GRAVY Score
13,0.09242424242424237,high gravy,GRAVY Score
14,0.2621212121212123,high gravy,GRAVY Score
15,0.22828282828282845,high gravy,GRAVY Score
16,0.22979797979797972,high gravy,GRAVY Score
17,0.23939393939393958,high gravy,GRAVY Score
18,0.3949494949494951,high gravy,GRAVY Score
19,0.46363636363636357,high gravy,GRAVY Score
20,0.49141414141414114,high gravy,GRAVY Score
21,0.7353535353535348,high gravy,GRAVY Score
22,0.6671717171717165,high gravy,GRAVY Score
23,0.6838383838383835,high gravy,GRAVY Score
24,0.7343434343434337,high gravy,GRAVY Score
25,0.7401015228426391,high gravy,GRAVY Score
26,0.7390862944162433,high gravy,GRAVY Score
27,0.7035532994923852,high gravy,GRAVY Score
28,0.7857868020304564,high gravy,GRAVY Score
29,0.755329949238578,high gravy,GRAVY Score
30,0.6999999999999994,high gravy,GRAVY Score
31,0.656852791878172,high gravy,GRAVY Score
32,0.8499999999999996,high gravy,GRAVY Score
33,0.8025510204081628,high gravy,GRAVY Score
34,0.6882653061224486,high gravy,GRAVY Score
35,0.8499999999999996,high gravy,GRAVY Score
36,0.7153061224489791,high gravy,GRAVY Score
37,0.6326530612244892,high gravy,GRAVY Score
38,0.6364102564102561,high gravy,GRAVY Score
39,0.5907692307692304,high gravy,GRAVY Score
40,0.6020512820512817,high gravy,GRAVY Score
41,0.5979487179487174,high gravy,GRAVY Score
42,0.6076923076923073,high gravy,GRAVY Score
43,0.5312820512820509,high gravy,GRAVY Score
44,0.5820512820512816,high gravy,GRAVY Score
45,0.5953846153846145,high gravy,GRAVY Score
46,0.5456410256410247,high gravy,GRAVY Score
47,0.49179487179487097,high gravy,GRAVY Score
48,0.5107692307692298,high gravy,GRAVY Score
49,0.5092307692307685,high gravy,GRAVY Score
50,0.5656410256410248,high gravy,GRAVY Score
51,0.5476923076923069,high gravy,GRAVY Score
52,0.5399999999999991,high gravy,GRAVY Score
53,0.5235897435897429,high gravy,GRAVY Score
54,0.4738461538461533,high gravy,GRAVY Score
55,0.5112820512820507,high gravy,GRAVY Score
56,0.6374358974358968,high gravy,GRAVY Score
57,0.6364102564102558,high gravy,GRAVY Score
58,0.5938461538461532,high gravy,GRAVY Score
59,0.566666666666666,high gravy,GRAVY Score
60,0.5989743589743581,high gravy,GRAVY Score
61,0.5764102564102557,high gravy,GRAVY Score
62,0.6764102564102558,high gravy,GRAVY Score
63,0.667692307692307,high gravy,GRAVY Score
64,0.6005128205128198,high gravy,GRAVY Score
65,0.6164102564102558,high gravy,GRAVY Score
66,0.5682051282051275,high gravy,GRAVY Score
