step,metric_value,label,metric_name
20,23846.43070000002,low molecular,Molecular Weight
21,23752.122400000007,low molecular,Molecular Weight
22,23785.026500000004,low molecular,Molecular Weight
23,23850.205500000007,low molecular,Molecular Weight
24,23558.0044,low molecular,Molecular Weight
25,23524.04460000001,low molecular,Molecular Weight
26,23691.10370000001,low molecular,Molecular Weight
27,23526.894200000006,low molecular,Molecular Weight
28,23554.055200000006,low molecular,Molecular Weight
29,23169.571600000003,low molecular,Molecular Weight
30,23089.463700000004,low molecular,Molecular Weight
31,22892.206099999996,low molecular,Molecular Weight
32,22874.325399999994,low molecular,Molecular Weight
33,22746.987599999986,low molecular,Molecular Weight
34,22667.026999999987,low molecular,Molecular Weight
35,22861.429699999997,low molecular,Molecular Weight
36,22876.265799999994,low molecular,Molecular Weight
37,22969.34139999999,low molecular,Molecular Weight
38,23086.515899999988,low molecular,Molecular Weight
39,23350.83619999999,low molecular,Molecular Weight
40,23166.663599999985,low molecular,Molecular Weight
41,23206.543999999998,low molecular,Molecular Weight
42,23304.413899999996,low molecular,Molecular Weight
43,23553.780499999997,low molecular,Molecular Weight
44,23429.720599999993,low molecular,Molecular Weight
45,23227.668499999996,low molecular,Molecular Weight
46,23165.595699999994,low molecular,Molecular Weight
47,23192.713699999993,low molecular,Molecular Weight
48,22943.59719999999,low molecular,Molecular Weight
49,23204.79599999999,low molecular,Molecular Weight
50,23085.52159999999,low molecular,Molecular Weight
51,22827.16299999999,low molecular,Molecular Weight
52,23083.238999999994,low molecular,Molecular Weight
53,23311.58829999999,low molecular,Molecular Weight
54,23129.35209999999,low molecular,Molecular Weight
55,22997.980399999993,low molecular,Molecular Weight
56,23300.4861,low molecular,Molecular Weight
57,23289.349199999993,low molecular,Molecular Weight
58,23385.4924,low molecular,Molecular Weight
59,23548.553,low molecular,Molecular Weight
60,23136.09229999999,low molecular,Molecular Weight
61,22936.842199999992,low molecular,Molecular Weight
62,22945.76289999999,low molecular,Molecular Weight
63,22977.67889999999,low molecular,Molecular Weight
64,22990.621299999995,low molecular,Molecular Weight
65,23220.5412,low molecular,Molecular Weight
66,23308.641200000002,low molecular,Molecular Weight
67,23300.650500000007,low molecular,Molecular Weight
68,23304.591099999994,low molecular,Molecular Weight
69,23640.008900000004,low molecular,Molecular Weight
70,23705.174700000003,low molecular,Molecular Weight
71,23676.3074,low molecular,Molecular Weight
72,23542.903300000005,low molecular,Molecular Weight
