step,metric_value,label,metric_name
40,22760.270300000004,low molecular,Molecular Weight
41,22889.102900000005,low molecular,Molecular Weight
42,22738.581000000006,low molecular,Molecular Weight
43,22670.935700000005,low molecular,Molecular Weight
44,22727.77670000001,low molecular,Molecular Weight
45,22748.02130000002,low molecular,Molecular Weight
46,22768.055800000016,low molecular,Molecular Weight
47,22501.63890000001,low molecular,Molecular Weight
48,22728.771300000004,low molecular,Molecular Weight
49,22760.76350000001,low molecular,Molecular Weight
50,22756.568000000007,low molecular,Molecular Weight
51,22586.38070000001,low molecular,Molecular Weight
52,22553.1571,low molecular,Molecular Weight
53,22767.53729999999,low molecular,Molecular Weight
54,22677.5326,low molecular,Molecular Weight
55,22984.034999999996,low molecular,Molecular Weight
56,22931.847800000003,low molecular,Molecular Weight
57,23193.981800000005,low molecular,Molecular Weight
58,23253.014400000004,low molecular,Molecular Weight
59,23134.82180000001,low molecular,Molecular Weight
60,23167.877000000004,low molecular,Molecular Weight
61,22915.687800000003,low molecular,Molecular Weight
62,22918.795700000002,low molecular,Molecular Weight
63,22852.698099999998,low molecular,Molecular Weight
64,22720.776699999995,low molecular,Molecular Weight
65,23219.2058,low molecular,Molecular Weight
66,22976.87940000001,low molecular,Molecular Weight
67,23049.090600000007,low molecular,Molecular Weight
68,23013.96670000001,low molecular,Molecular Weight
69,23040.974000000006,low molecular,Molecular Weight
70,22962.854100000008,low molecular,Molecular Weight
71,22687.3525,low molecular,Molecular Weight
72,22806.499600000006,low molecular,Molecular Weight
73,22827.388400000003,low molecular,Molecular Weight
74,22721.988200000007,low molecular,Molecular Weight
75,22570.951400000013,low molecular,Molecular Weight
76,22336.89060000001,low molecular,Molecular Weight
77,22427.003600000004,low molecular,Molecular Weight
78,22156.653700000006,low molecular,Molecular Weight
79,22021.467500000002,low molecular,Molecular Weight
80,22089.7818,low molecular,Molecular Weight
0,-0.757,high gravy,GRAVY Score
1,-0.6695000000000004,high gravy,GRAVY Score
2,-0.5415000000000003,high gravy,GRAVY Score
3,-0.47850000000000037,high gravy,GRAVY Score
4,-0.22200000000000028,high gravy,GRAVY Score
5,-0.05600000000000007,high gravy,GRAVY Score
