step,metric_value,label,metric_name
0,23108.0957,high molecular,Molecular Weight
1,23010.219600000008,high molecular,Molecular Weight
2,22778.7491,high molecular,Molecular Weight
3,22940.807000000004,high molecular,Molecular Weight
4,22700.593,high molecular,Molecular Weight
5,22490.459700000003,high molecular,Molecular Weight
6,22717.900499999996,high molecular,Molecular Weight
7,22837.085900000002,high molecular,Molecular Weight
8,22957.323700000008,high molecular,Molecular Weight
9,23268.65890000001,high molecular,Molecular Weight
10,23230.817100000004,high molecular,Molecular Weight
11,23237.920600000005,high molecular,Molecular Weight
12,23363.98920000001,high molecular,Molecular Weight
13,23222.992400000014,high molecular,Molecular Weight
14,23050.59180000001,high molecular,Molecular Weight
15,23086.487000000012,high molecular,Molecular Weight
16,23216.630200000018,high molecular,Molecular Weight
17,23497.89970000002,high molecular,Molecular Weight
18,23360.68780000002,high molecular,Molecular Weight
19,23174.52460000002,high molecular,Molecular Weight
20,23193.34440000002,high molecular,Molecular Weight
21,23115.217500000017,high molecular,Molecular Weight
22,22939.046700000017,high molecular,Molecular Weight
23,23195.988900000015,high molecular,Molecular Weight
24,23302.329400000013,high molecular,Molecular Weight
25,23346.316900000013,high molecular,Molecular Weight
26,23602.81360000002,high molecular,Molecular Weight
27,23130.96640000002,high molecular,Molecular Weight
28,22987.546100000018,high molecular,Molecular Weight
29,22804.39830000002,high molecular,Molecular Weight
30,22968.778500000015,high molecular,Molecular Weight
31,23025.809800000017,high molecular,Molecular Weight
32,23147.98750000002,high molecular,Molecular Weight
33,23166.815200000015,high molecular,Molecular Weight
34,23318.032300000013,high molecular,Molecular Weight
35,23305.972000000016,high molecular,Molecular Weight
36,23298.138700000018,high molecular,Molecular Weight
37,23195.151700000017,high molecular,Molecular Weight
38,23320.25400000002,high molecular,Molecular Weight
39,23282.457500000022,high molecular,Molecular Weight
40,23543.753500000028,high molecular,Molecular Weight
41,23575.830100000017,high molecular,Molecular Weight
42,23430.675200000016,high molecular,Molecular Weight
43,23632.035600000025,high molecular,Molecular Weight
44,23383.863800000017,high molecular,Molecular Weight
45,23304.803600000007,high molecular,Molecular Weight
46,23223.682500000006,high molecular,Molecular Weight
47,23218.596500000007,high molecular,Molecular Weight
48,23319.51700000001,high molecular,Molecular Weight
49,23269.52600000001,high molecular,Molecular Weight
50,23252.427300000007,high molecular,Molecular Weight
51,23407.629600000015,high molecular,Molecular Weight
52,23392.656500000016,high molecular,Molecular Weight
53,23261.49710000002,high molecular,Molecular Weight
54,23214.470600000022,high molecular,Molecular Weight
55,23192.382500000014,high molecular,Molecular Weight
56,22949.93580000001,high molecular,Molecular Weight
57,22777.921700000006,high molecular,Molecular Weight
58,22795.185500000007,high molecular,Molecular Weight
59,22701.2429,high molecular,Molecular Weight
60,23066.05600000001,high molecular,Molecular Weight
61,23149.200500000006,high molecular,Molecular Weight
62,23000.16820000001,high molecular,Molecular Weight
63,22967.027200000004,high molecular,Molecular Weight
64,22645.8728,high molecular,Molecular Weight
65,22570.468300000004,high molecular,Molecular Weight
66,22555.555800000002,high molecular,Molecular Weight
67,22496.210300000006,high molecular,Molecular Weight
68,22186.682500000006,high molecular,Molecular Weight
69,22401.98000000001,high molecular,Molecular Weight
70,22510.38090000001,high molecular,Molecular Weight
71,22558.42710000001,high molecular,Molecular Weight
72,22652.581500000015,high molecular,Molecular Weight
73,22572.66560000001,high molecular,Molecular Weight
74,22490.78030000001,high molecular,Molecular Weight
75,22471.787200000013,high molecular,Molecular Weight
76,22620.919100000014,high molecular,Molecular Weight
77,22564.883900000008,high molecular,Molecular Weight
78,22982.308300000008,high molecular,Molecular Weight
79,22986.23740000001,high molecular,Molecular Weight
80,23209.43480000001,high molecular,Molecular Weight
81,23210.36800000001,high molecular,Molecular Weight
82,23301.43700000001,high molecular,Molecular Weight
83,23354.51960000001,high molecular,Molecular Weight
84,23461.702400000016,high molecular,Molecular Weight
85,23327.763700000018,high molecular,Molecular Weight
86,23155.596700000016,high molecular,Molecular Weight
87,23144.509400000017,high molecular,Molecular Weight
88,23249.447900000014,high molecular,Molecular Weight
89,23438.63180000001,high molecular,Molecular Weight
90,23531.670400000014,high molecular,Molecular Weight
91,23612.511400000014,high molecular,Molecular Weight
92,23539.350000000006,high molecular,Molecular Weight
93,23485.137300000006,high molecular,Molecular Weight
94,23774.571200000013,high molecular,Molecular Weight
95,23604.476600000013,high molecular,Molecular Weight
96,23731.599300000016,high molecular,Molecular Weight
97,23442.19570000002,high molecular,Molecular Weight
98,23059.749500000013,high molecular,Molecular Weight
99,23414.33830000001,high molecular,Molecular Weight
100,23625.431700000016,high molecular,Molecular Weight
0,23108.0957,low molecular,Molecular Weight
1,23044.457400000003,low molecular,Molecular Weight
2,22736.468900000014,low molecular,Molecular Weight
3,22461.71580000002,low molecular,Molecular Weight
4,22504.03940000003,low molecular,Molecular Weight
5,22450.05850000003,low molecular,Molecular Weight
6,22032.61650000003,low molecular,Molecular Weight
7,21869.529500000033,low molecular,Molecular Weight
8,21777.763600000035,low molecular,Molecular Weight
9,21692.83630000004,low molecular,Molecular Weight
10,21520.540700000045,low molecular,Molecular Weight
11,21483.613500000047,low molecular,Molecular Weight
12,21317.47610000005,low molecular,Molecular Weight
13,21414.61620000005,low molecular,Molecular Weight
14,21430.677200000056,low molecular,Molecular Weight
15,21252.598900000055,low molecular,Molecular Weight
16,21281.742700000053,low molecular,Molecular Weight
17,21214.74120000006,low molecular,Molecular Weight
18,21278.691000000053,low molecular,Molecular Weight
19,21182.82020000006,low molecular,Molecular Weight
